id,title,price,condition,category_id,listing_type,free_shipping
MLA1533767038,Celular Motorola Edge 30 Color Gris 128 Gb Con Android 12,1056490.0,new,MLA1055,gold_special,True
MLA1962593356,Motorola Edge 50 Fusion 5g 512gb 12gb Ram Super Camara,998898.0,new,MLA1055,gold_special,True
MLA1964079578,Moto Edge 50 Fusion 5g 512gb 12gb Ram Super Camara,859757.79,new,MLA1055,gold_pro,True
MLA1962651236,Motorola Moto Edge 30 128gb Azul - Muy Bueno,489799.0,new,MLA1055,gold_pro,True
MLA1992477926,Motorola Edge 40 Neo 5g Dual Sim 256 Gb Soothing Sea 8 Gb Ram,611795.0,new,MLA1055,gold_special,True
MLA1960769414,Motorola Edge 40 256gb Verde - Como Nuevo,580999.0,new,MLA1055,gold_special,True
MLA1962716162,Motorola Edge 30 128 Gb Azul - Muy Bueno ,370599.0,new,MLA1055,gold_special,True
MLA1464015625,Telefono Celular Motorola Edge 50 Pro 12gb Ram 512gb Negro,1468468.38,new,MLA1055,gold_special,True
MLA1451860417,Telefono Celular Motorola Edge 50 Pro 12gb Ram 512gb Lavanda,1393988.13,new,MLA1055,gold_special,True
MLA2030522766,Moto Edge 50 Fusion 5g Dual Sim 12gb 256gb Azul Azul,635988.0,new,MLA1055,gold_special,True
MLA1969269026,Motorola Edge 30 128 Gb Plateado - Como Nuevo,551099.0,new,MLA1055,gold_pro,True
MLA1463811605,Motorola Moto Edge 30 Pro 256gb Blanco - Muy Bueno,931499.0,new,MLA1055,gold_pro,True
MLA2008354822,Telefono Celular Motorola Edge 50 Ultra 12gb Memoria 512gb,2455303.11,new,MLA1055,gold_pro,True
MLA1470415591,Celular Motorola Edge 30 Pro Blanco + Folio Blanco + Stylus,890000.0,new,MLA1055,gold_special,True
MLA2008289808,Telefono Celular Motorola Edge 50 Ultra 12gb Memoria 512gb,1925648.33,new,MLA1055,gold_special,True
MLA2030616274,Celular Motorola Edge 30 Color Gris 128 Gb Con Android 12 - Bueno (Reacondicionado),416999.0,new,MLA1055,gold_special,True
MLA1904979424,Motorola Edge 40 256gb Verde - Como Nuevo,580999.0,new,MLA1055,gold_special,True
MLA2032254768,Motorola Moto Edge 50 Neo 512 Gb Interna 12gb Ram Esim Nfc,1999999.0,new,MLA1055,gold_special,True
MLA2032177376,Motorola Moto Edge 40 Neo 5g Esim Nfc 256 Gb Int 12 Gb Ram,1999999.0,new,MLA1055,gold_special,True
MLA1460103243,Motorola Edge 30 128 Gb Plateado - Como Nuevo,416999.0,new,MLA1055,gold_special,True
MLA2031397578,Moto Edge30 Fusion 256gb Negro Cuarzo 12gb Ram C/cargador,549999.0,new,MLA1055,gold_special,True
MLA1482052067,Moto Edge 50 Fusion 5g 256 Gb Azul Claro 12 Gb Marshmallow,649999.0,new,MLA1055,gold_special,True
MLA2032438370,Moto Edge 50 Fusion 256gb 8gb Ram Color Rosado,620000.0,new,MLA1055,gold_special,True
MLA1953275056,Motorola Edge 30 Pro 256gb Azul - Como Nuevo,682699.0,new,MLA1055,gold_special,True
MLA1863890296,Celular Motorola Moto Edge 40 Neo 256/8gb Accesorio Regalo,999999.0,new,MLA1055,gold_special,True
MLA2031321872,Moto Edge 30 128 Gb Color Plata 8 Gb Ram + Cargador Original,459999.0,new,MLA1055,gold_special,True
MLA1960873162,Motorola Edge 40 256gb Verde - Como Nuevo,767999.0,new,MLA1055,gold_pro,True
MLA1795918408,Motorola Edge 30 128 Gb Azul - Muy Bueno ,370599.0,new,MLA1055,gold_special,True
MLA1969566464,Motorola Edge 30 128gb Azul - Como Nuevo,416999.0,new,MLA1055,gold_special,True
MLA1863954804,Celular Motorola Moto Edge 40 Neo 256/8gb Accesorio Regalo,999999.0,new,MLA1055,gold_special,True
MLA1469274919,Moto Edge 50,750000.0,new,MLA1055,gold_pro,True
MLA1933082810,Moto Edge 30  128 Gb Color Azul 8 Gb Ram + Cargador Original,459999.0,new,MLA1055,gold_special,True
MLA1460043535,Motorola Moto Edge 30 Pro 128gb Azul - Como Nuevo,1047899.0,new,MLA1055,gold_pro,True
MLA1776663026,Motorola Edge 30 128 Gb Plateado - Como Nuevo,416999.0,new,MLA1055,gold_special,True
MLA2031631448,Motorola Edge 50 Fusion 5g Dual Sim 256gb 12gb Ram,590000.0,new,MLA1055,gold_special,True
MLA1451898723,Telefono Celular Motorola Edge 50 Pro 12gb Ram 512gb Lavanda,1776332.27,new,MLA1055,gold_pro,True
MLA1432080941,Apple iPhone 15 (128 Gb) - Negro - Distribuidor Autorizado,2599999.0,new,MLA1055,gold_special,True
